ItemID,year,WeekIdentifier,SalesChannel,Territory,NewBasePrice,TotalInventory,StoreInventory,WarehouseInventory,StockedStorePercentage,SellingStoresRatio,InboundInventory,SalesQuantity,ProjectedInventory
OBLNQPY29,2018,3,Stores,YXX,17.928999999999995,8,4,4,0.0961,0.0907,0,5,0
uuDgKao91,2018,3,Stores,AXX,14.657999999999998,123,8,115,0.2983,0.08879999999999999,0,15,107
YAMo2k069,2018,3,Stores,AXX,21.923000000000002,11,8,3,0.3526,0.11610000000000001,0,21,0
1P61FwU29,2018,3,E-commerce,AXX,21.844,4,4,0,0.0339,0.0849,0,2,0
kHksQbM68,2018,3,Stores,YXX,19.268,8,6,2,0.3049,0.15050000000000002,0,6,0
CWZl3zg61,2018,3,Stores,YXX,14.572999999999999,6,4,2,0.046,0.065,0,0,0
WSqOy9k37,2018,3,Stores,AXX,21.817,211,22,189,0.40719999999999995,0.0499,98,5,75
XebtiUQ79,2018,3,Stores,AXX,14.372999999999998,41,7,34,0.10300000000000001,0.0528,0,6,0
qKhBmA876,2018,3,Stores,AXX,22.712,13,4,9,0.1125,0.0849,15,6,0
U8aZiCo48,2018,3,Stores,AXX,17.421999999999997,29,5,24,0.4031,0.12060000000000001,0,6,19
Cba2FPY50,2018,3,Stores,AXX,20.013,15,5,10,0.0708,0.0549,2,3,0
zAiVNcI37,2018,3,Stores,YXX,15.572000000000003,5,2,3,0.012,0.029,0,3,0
1P61FwU29,2018,3,Stores,AXX,21.844,8,2,6,0.1242,0.1039,0,1,0
QxITX0E23,2018,3,Stores,AXX,19.571999999999996,10,1,9,0.0934,0.03,0,1,0
Zf0fH0U72,2018,3,Stores,AXX,24.213,4,2,2,0.083,0.0519,0,5,0
zAiVNcI37,2018,3,Stores,AXX,15.572000000000003,44,22,22,0.2412,0.08209999999999999,0,11,0
Zf0fH0U72,2018,3,E-commerce,AXX,24.213,13,4,9,0.0399,0.0959,0,11,0
14X5b_464,2018,3,Stores,AXX,15.783,10,3,7,0.0921,0.0419,3,6,0
O4Iu-sI69,2018,3,Stores,AXX,18.503,386,110,276,0.83385,0.5858,74,156,78
O4Iu-sI69,2018,3,E-commerce,AXX,18.503,7,2,5,0.0859,0.07390000000000001,0,5,0
tRaqmgQ14,2018,3,Stores,AXX,18.692,18,7,11,0.1989,0.033,0,1,0
dYKt3Wk33,2018,3,Stores,AXX,21.083000000000002,91,48,43,0.9934,0.14780000000000001,0,41,0
dYKt3Wk33,2018,3,Stores,YXX,21.083000000000002,7,5,2,0.12000000000000001,0.020900000000000002,0,2,0
dYKt3Wk33,2018,3,E-commerce,AXX,21.083000000000002,5,2,3,0.0529,0.0769,0,5,0
MJe2EKU18,2018,3,Stores,AXX,26.389000000000003,34,9,25,0.2545,0.0888,0,7,0
y9ZBzPE41,2018,3,Stores,YXX,16.733,15,9,6,0.2779,0.1542,0,17,0
dzEXwy432,2018,3,Stores,AXX,22.163,71,28,43,0.6655,0.0647,19,6,0
J8uCtyM24,2018,3,Stores,YXX,21.383,8,8,0,0.1634,0.0903,0,8,0
O4Iu-sI69,2018,3,Stores,YXX,18.503,13,11,2,0.2283,0.1416,0,19,0
Sqz_-t427,2018,3,Stores,AXX,19.067999999999998,23,6,17,0.7952,0.1403,0,5,13
J8uCtyM24,2018,3,E-commerce,AXX,21.383,8,4,4,0.0549,0.0999,0,15,0
AAp6ICE84,2018,3,E-commerce,AXX,18.843,9,2,7,0.0859,0.0299,0,1,0
oF4__0s73,2018,3,Stores,AXX,21.213,18,8,10,0.3094,0.1308,0,7,0
LExiVNA75,2018,3,Stores,YXX,16.438000000000002,26,26,0,0.3589,0.0235,0,9,0
g17-G3E54,2018,3,Stores,AXX,15.633,14,5,9,0.0776,0.1145,0,7,0
GvuEKUE90,2018,3,E-commerce,AXX,15.022,5,4,1,0.0039,0.0839,0,7,0
g17-G3E54,2018,3,E-commerce,AXX,15.633,5,2,3,0.0299,0.0449,0,3,0
o5qDpZc78,2018,3,Stores,AXX,15.319,134,29,105,0.6122,0.0713,54,5,36
oB4vvrs68,2018,3,E-commerce,AXX,22.548,9,1,8,0.1039,0.0059,0,4,0
6b2JXVU81,2018,3,Stores,AXX,22.703000000000003,22,8,14,0.1643,0.1064,0,10,0
_s-0LQ031,2018,3,E-commerce,AXX,30.185,6,0,6,0.0999,0.0829,0,3,0
_s-0LQ031,2018,3,Stores,AXX,30.185,11,3,8,0.168,0.0437,0,3,0
LExiVNA75,2018,3,Stores,AXX,16.438000000000002,356,144,212,0.58545,0.1839,82,69,79
UVHzi7g60,2018,4,Stores,YXX,18.703000000000003,15,11,4,0.3788,0.1635,0,30,0
mGOdPGw17,2018,4,Stores,AXX,14.532,13,6,7,0.4052,0.1609,0,9,0
JoQ7vPE66,2018,4,E-commerce,AXX,19.714999999999996,7,3,4,0.012899999999999998,0.0879,0,4,0
JoQ7vPE66,2018,4,Stores,YXX,19.714999999999996,8,5,3,0.1031,0.0247,0,5,0
JoQ7vPE66,2018,4,Stores,AXX,19.714999999999996,180,56,124,0.7048000000000001,0.8064,7,71,86
oRAankI44,2018,4,E-commerce,AXX,19.442,4,0,4,0.0599,0.0309,0,5,0
oRAankI44,2018,4,Stores,AXX,19.442,40,20,20,0.2936,0.05689999999999999,0,12,0
g7aJMn895,2018,4,Stores,AXX,15.204999999999998,67,4,63,0.23909999999999998,0.065,41,0,0
3jHlU6w33,2018,4,E-commerce,AXX,25.613,6,1,5,0.063,0.0819,0,2,7
rBFx0FQ93,2018,4,E-commerce,AXX,23.233,13,4,9,0.0819,0.0799,10,1,0
